,0
0,Category:Drinks by main ingredient
1,Category:Cocktails by ingredient
2,Category:Alcoholic coffee drinks
3,Category:Coffee liqueurs
4,Category:Cocktails with coffee liqueur
5,Category:Cocktails with beer
6,Category:Cocktails with bitters
7,Category:Cocktails with Campari
8,Category:Cocktails with Angostura bitters
9,Category:Cocktails with bourbon whiskey
10,Category:Cocktails with brandy
11,Category:Cocktails with cachaça
12,Category:Cocktails with carbonated water
13,Category:Cocktails with club soda
14,Category:Cocktails with tonic
15,Category:Cocktails with anise-flavored liquors
16,Category:Cocktails with chartreuse
17,Category:Cocktails with coconut
18,Category:Cocktails with crème de violette
19,Category:Cocktails with eggs
20,Category:Cocktails with fruit juice
21,Category:Cocktails with cranberry juice
22,Category:Cocktails with grape juice
23,Category:Cocktails with grapefruit juice
24,Category:Cocktails with orange juice
25,Category:Cocktails with pineapple juice
26,Category:Cocktails with mezcal
27,Category:Cocktails with cola
28,Category:Cocktails with gin
29,Category:Cocktails with ginger beer
30,Category:Cocktails with ginger soda
31,Category:Cocktails with ginger ale
32,Category:Cocktails with grapefruit soda
33,Category:Cocktails with grenadine
34,Category:Cocktails with ice cream
35,Category:Cocktails with Irish cream
36,Category:Cocktails with lemon juice
37,Category:Cocktails with lemonade
38,Category:Cocktails with lemon-lime soda
39,Category:Cocktails with lime juice
40,Category:Cocktails with limeade
41,Category:Cocktails with liqueur
42,Category:Cocktails with absinthe
43,Category:Cocktails with advocaat
44,Category:Cocktails with Aperol
45,Category:Cocktails with arak
46,Category:Cocktails with chocolate liqueur
47,Category:Cocktails with fruit liqueur
48,Category:Cocktails with triple sec or curaçao
49,Category:Cocktails with Southern Comfort
50,Category:Cocktails with liquorice
51,Category:Cocktails with milk
52,Category:Cocktails with nutmeg
53,Category:Cocktails with ouzo
54,Category:Cocktails with peach
55,Category:Cocktails with pineapple
56,Category:Cocktails with rum
57,Category:Cocktails with dark rum
58,Category:Cocktails with light rum
59,Category:Cocktails with white rum
60,Category:Cocktails with sake
61,Category:Cocktails with Swedish Punsch
62,Category:Cocktails with tea
63,Category:Cocktails with tequila
64,Category:Cocktails with tomato juice
65,Category:Cocktails with vodka
66,Category:Cocktails with whisky
67,Category:Cocktails with rye whisky
68,Category:Cocktails with Scotch whisky
69,Category:Cocktails with wine
70,Category:Cocktails with Champagne
71,Category:Cocktails with vermouth
72,Category:Cocktails with sweet vermouth
73,Category:Cocktails with fortified wine
74,Category:Wine coolers
75,Category:Bacon drinks
76,Category:Barley-based drinks
77,Category:Malt-based drinks
78,Category:Beer
79,Category:Beer brands
80,Category:AB InBev brands
81,Category:Anheuser-Busch beer brands
82,Category:InBev brands
83,Category:Labatt Brewing Company
84,Category:Heineken brands
85,Category:Molson Coors brands
86,Category:Beer dishes
87,Category:Types of beer
88,Category:Beer styles
89,Category:American beer styles
90,Category:Dry beer
91,Category:German beer styles
92,Category:Trappist beer
93,Category:Root beer
94,Category:Root beer stands
95,Category:Malt whisky
96,Category:Chocolate drinks
97,Category:Chocolate liqueurs
98,Category:Mexican chocolate
99,Category:Foods and drinks produced with excrement
100,Category:Fruit drinks
101,Category:Citrus drinks
102,Category:Citrus cocktails
103,Category:Lemon drinks
104,Category:Lemon sodas
105,Category:Lemon-lime sodas
106,Category:Lemonade
107,Category:Lime drinks
108,Category:Limeade
109,Category:Citrus liqueurs
110,Category:Orange liqueurs
111,Category:Citrus sodas
112,Category:Grapefruit sodas
113,Category:Orange sodas
114,Category:Sour cocktails
115,Category:Fruit brandies
116,Category:Apple brandies
117,Category:Distilled ciders
118,Category:Fruit sodas
119,Category:Apple sodas
120,Category:Cherry sodas
121,Category:Cherry colas
122,Category:Grape sodas
123,Category:Guarana sodas
124,Category:Pear sodas
125,Category:Juice
126,Category:Fruit juice
127,Category:Grape juice
128,Category:Lemon juice brands
129,Category:Juice bars
130,Category:Juice brands
131,Category:Tropicana Products
