,0
0,Category:Food products
1,Category:Tomato products
2,Category:Ketchup
3,Category:Tomato sauces
4,Category:Prepared foods by main ingredient
5,Category:Breads by ingredient
6,Category:Rye breads
7,Category:Seeded breads
8,Category:Sesame seed breads
9,Category:Wheat breads
10,Category:Whole wheat breads
11,Category:Drinks by main ingredient
12,Category:Bacon drinks
13,Category:Barley-based drinks
14,Category:Malt-based drinks
15,Category:Beer
16,Category:Beer brands
17,Category:AB InBev brands
18,Category:Anheuser-Busch beer brands
19,Category:InBev brands
20,Category:Labatt Brewing Company
21,Category:Heineken brands
22,Category:Molson Coors brands
23,Category:Beer dishes
24,Category:Types of beer
25,Category:Beer styles
26,Category:American beer styles
27,Category:Dry beer
28,Category:German beer styles
29,Category:Trappist beer
30,Category:Root beer
31,Category:Root beer stands
32,Category:Malt whisky
33,Category:Chocolate drinks
34,Category:Chocolate liqueurs
35,Category:Mexican chocolate
36,Category:Fruit drinks
37,Category:Citrus drinks
38,Category:Citrus cocktails
39,Category:Lemon drinks
40,Category:Lemon sodas
41,Category:Lemon-lime sodas
42,Category:Lemonade
43,Category:Lime drinks
44,Category:Limeade
45,Category:Citrus liqueurs
46,Category:Orange liqueurs
47,Category:Citrus sodas
48,Category:Grapefruit sodas
49,Category:Orange sodas
50,Category:Sour cocktails
51,Category:Fruit brandies
52,Category:Apple brandies
53,Category:Distilled ciders
54,Category:Fruit sodas
55,Category:Apple sodas
56,Category:Cherry sodas
57,Category:Cherry colas
58,Category:Grape sodas
59,Category:Guarana sodas
60,Category:Pear sodas
61,Category:Juice
62,Category:Fruit juice
63,Category:Grape juice
64,Category:Lemon juice brands
65,Category:Juice bars
66,Category:Juice brands
67,Category:Tropicana Products
68,Category:Vegetable juice
69,Category:Fruit liqueurs
70,Category:Berry liqueurs
71,Category:Cherry liqueurs and spirits
72,Category:Plum spirits
73,Category:Fruit wines
74,Category:Honey-based beverages
75,Category:Honey liqueurs and spirits
76,Category:Mead
77,Category:Maize-based drinks
78,Category:Milk-based drinks
79,Category:Flavored milk
80,Category:Milk tea
81,Category:Yogurt-based drinks
82,Category:Mint drinks
83,Category:Rice drinks
84,Category:Rice wine
85,Category:Sake
86,Category:Rye-based drinks
87,Category:Rye whiskey
88,Category:Canadian whisky
89,Category:Wheat-based drinks
90,Category:Wheat whisky
91,Category:Sandwiches by main ingredient
92,Category:Beef sandwiches
93,Category:Cheese sandwiches
94,Category:Egg sandwiches
95,Category:Hamburgers (food)
96,Category:Hamburger restaurants
97,Category:Fast-food hamburger restaurants
98,Category:Burger King
99,Category:Burger King advertising
100,Category:Burger King characters
101,Category:Burger King foods
102,Category:CKE Restaurants
103,Category:Fast food hamburgers
104,Category:Jack in the Box
105,Category:Wendy's International
106,Category:Wendy's foods
107,Category:Tim Hortons
108,Category:White Castle (restaurant)
109,Category:Hot dogs
110,Category:Brand name hot dogs
111,Category:Hot dog restaurants
112,Category:Offal sandwiches
113,Category:Pork sandwiches
114,Category:Bacon sandwiches
115,Category:Sausage sandwiches
116,Category:Seafood sandwiches
117,Category:Bangladeshi dishes by main ingredient
118,Category:Bangladeshi meat dishes
119,Category:Bangladeshi rice dishes
120,Category:Bangladeshi seafood dishes
121,Category:Bangladeshi fish dishes
122,Category:Bangladeshi vegetable dishes
123,Category:Indian dishes by main ingredient
124,Category:Indian cheese dishes
125,Category:Indian egg dishes
126,Category:Indian legume dishes
127,Category:Indian meat dishes
128,Category:Indian chicken dishes
129,Category:Indian rice dishes
130,Category:Indian seafood dishes
131,Category:Indian fish dishes
132,Category:Indian vegetable dishes
133,Category:Indian wheat dishes
134,Category:Pakistani dishes by main ingredient
135,Category:Pakistani legume dishes
136,Category:Pakistani meat dishes
137,Category:Pakistani chicken dishes
138,Category:Pakistani rice dishes
139,Category:Pakistani vegetable dishes
140,Category:Sri Lankan dishes by main ingredient
141,Category:Sri Lankan egg dishes
142,Category:Sri Lankan legume dishes
143,Category:Sri Lankan meat dishes
144,Category:Sri Lankan chicken dishes
145,Category:Sri Lankan lamb dishes
146,Category:Sri Lankan seafood dishes
147,Category:Sri Lankan fish dishes
148,Category:Sri Lankan rice dishes
149,Category:Sri Lankan vegetable dishes
150,Category:Foods with alcoholic drinks
151,Category:Flambéed foods
152,Category:Flaming drinks
153,Category:Wine dishes
154,Category:Bread dishes
155,Category:Bread puddings
156,Category:Bread salads
157,Category:Bread soups
158,Category:Breaded cutlets
159,Category:Sandwiches
160,Category:Breakfast sandwiches
161,Category:Hot sandwiches
162,Category:Open-faced sandwiches
163,Category:Sandwich restaurants
164,Category:Submarine sandwich restaurants
165,Category:Subway (restaurant)
166,Category:Vegetarian sandwiches
167,Category:Toast dishes
168,Category:Tortilla-based dishes
169,Category:Buckwheat dishes
170,Category:Soba
171,Category:Bulgur dishes
172,Category:Cannabis foods
173,Category:Cassava dishes
174,Category:Cereal dishes
175,Category:Bap
176,Category:Barley-based dishes
177,Category:Maize dishes
178,Category:Popcorn
179,Category:Popcorn brands
180,Category:Dishes featuring sweet corn
181,Category:Rice dishes
182,Category:Chicken and rice dishes
183,Category:Rice crackers
184,Category:Beika
185,Category:Fried rice
186,Category:Glutinous rice dishes
187,Category:Latin American rice dishes
188,Category:Rice pudding
189,Category:Rye-based dishes
190,Category:Wheat dishes
191,Category:Udon
192,Category:Coffee dishes
193,Category:Curry dishes
